Name,img_txt,tw_txt,loc_d1,loc_h2,loc_h3,loc_h4,loc_w1,loc_w2,label,follower_count,listed_count,statuses_count,friends_count,follower/friend_ratio
tweet_135203.txt,woman long brown hair metal frame bed scene outside woman brown hair girl long hair woman long hair roof silver white clock tree green leaf white cloud blue sky hair brown hair brown car silver design woman blonde hair white black clock tree river water background tree river eye woman boat water water calm boat water building distance boat water white cloud blue sky white frame wall tree background green tree distance window metal boat water window building tree river tall tree middle street tree green leaf tree background white black hydrant white base building building distance ear dog window building man wearing shirt boat water green leaf tree tree background woman brown nose window building boat water green leaf tree hair brown building distance tree background white black pipe tree background building distance window white long hair woman small boat water water calm large white building white cloud blue sky white cloud blue sky white cloud sky dog right ear woman hair brown tree water boat water long hair girl building distance sky clear blue woman hair long tree background woman brown hair small boat water tree background green tree river water calm green tree background tree river tree water hair brown tree river shirt gray body water tail horse white cloud blue sky green leaf tree green leaf tree hair brown woman brown hair small tree water woman wearing necklace hair blonde small tree water green leaf tree ear woman small ripple water hair brown ear cat water calm green leaf tree green leaf tree green leaf tree tail horse hair brown small patch water woman wearing green shirt tree hair brown water calm,🍃  #centralpark 🍃  #nyc #newyork #newyorkcity #manhattan #walkinthepark #bridge #lake #selfie,256.253340148,22.7270374,1.37451117155E-009,10.03917244,591.732652073,0.367108,1,11395,56,4276,173,65.8670520231
tweet_71836.txt,man brown hair man wearing sunglass clear blue sky man shirt brown man short hair woman glass mountain background sky clear blue white blanket snow covered mountain man beard head person mountain background nose man sky blue man beard man wearing glass eye man man wearing glass man wearing glass pair glass white stripe man white letter blue shirt mountain distance sky clear man blue shirt blue white shoe white blue shirt sky blue color body horse snow covered mountain mountain distance black strap woman white cloud blue sky pair jean snow covered mountain leg elephant mountain background shadow ground blue blanket bed woman wearing necklace snow covered mountain white cloud blue sky mountain distance person background word UNK dog black white cat jacket red white cloud blue sky white cloud blue sky sun shining table snow covered mountain blue white shoe white cloud blue sky blue white shirt white cloud blue sky blue blanket bed white cloud blue sky white cloud blue sky blue white blanket man beard snow covered mountain head horse man black hair white cloud blue sky snow covered mountain blue blanket bed hair brown snow mountain man wearing shirt ear man ear man snow covered mountain white cloud blue sky ear man mountain black shirt mountain blue shirt blue sky ear woman shade white snow hill,#balda ş #balta ş #çayeli #çamlıhemşin #marbudan #cahperik #rize #turkey #t ürkiye #özçekim #selfie,144678.049854,3065.47265625,252.522949222,886.87890625,1068.17972137,0.001972,1,150,1,940,301,0.4983388704
tweet_119781.txt,man black hair man black hair man hair black glass man head white wall man blue white toothbrush wooden fence man hand white man black hair pair glass head pair glass wooden wall man brown hair wooden wall man man beard man black hair wooden fence man beard blue white hat wooden fence post wooden bench man hair black wooden wall nose man pair glass wooden floor wooden fence white line ground man wearing glass brick wall hand person fur white man wearing hat window room wall white man short hair brown wooden wall black white toothbrush wooden piece wood man hair brown trunk tree white shirt man wooden board hair man head white shirt man shadow wall man brown hair wooden floor man left hand brick wall building shadow ground brown wooden fence wooden fence woman long hair brick wall fur white hair man wooden post wall building wooden fence white wall woman wearing white shirt fur white man brown hair edge wooden board wooden beam hair black wall building white shirt man hair black hair black shadow wall,#loscabos #weekend #picoftheday #beach #selfie #life #fun cabo san,1558.84283936,133.979599,12.57183838,13.53400755,-519.879321519,0.522156,1,425,4,3444,508,0.8366141732
tweet_36818.txt,man beard blue white shirt woman wearing glass eye man woman wearing blue shirt man shirt gray man hair brown glass man face blue white striped shirt black handle car eye woman sky clear nose woman shirt red gray blanket floor blue bag floor woman smiling black white umbrella eye woman hair man head tie blue pair glass hair black black white umbrella long brown hair eye man black metal frame chair hair brown black leather bag handle toilet hair man black car background head person hair man head black shoe shoe floor blue woman wearing hat black handle bike white dog white stripe dog black metal chair black car window window room blue sky white cloud gray rock man wearing hat window background black bag chair man hair brown reflection person eye man blue white striped shirt hair background white cloud blue sky tie blue shirt white gray pant hair man black handle car hair brown hair black floor black white wall background black handle bag black hair black blue white striped shirt man beard arm man man wearing hat black strap chair man short hair shirt black,rainy cold winter jacket today 😮    😭  #winteriscoming #selfie #fotd #redlip,343.775440416,135.479828,67.3599357557,79.59709167,353.63985197,0.362756,1,1363,77,10665,2066,0.6597289448
tweet_44055.txt,man brown hair red wine glass sky clear blue dark brown water light motorcycle mountain distance light car water calm hill distance light table mountain distance person wearing wet suit white wall man water calm hill distance light black chair water calm water blue white cloud blue sky mountain distance hill distance sky clear sand brown small patch water woman red shirt mountain distance black background light ceiling brown sand beach shadow bear white line table light table mountain distance water calm water calm water calm light table water blue sun shining person beach wall black background black wall brown water calm white cloud blue sky white cloud sky sky clear background black background black white cloud sky man hair black person wearing white shirt small wave beach black white cat black background photo body cat light ceiling dog beach water blue white cloud blue sky shade sky clear hair brown white shirt white line white handle table fur black black background photo water brown black background man kite white cloud blue sky white cloud blue sky white shade black background table white cloud blue sky sun shining black white background white cloud blue sky,#selfie #sunset #me #beach praia da california - sesimbra,149655.492912,375.199646,184.630817843,203.23978467,66.9346645379,0.411276,1,1940,57,41836,806,2.4069478908
tweet_50595.txt,man short hair woman wearing black white shirt woman long hair woman wearing black white striped shirt long hair woman black leather purse woman brown nose black strap woman man beard hair head man eye man black white striped shirt black chair black leather jacket silver handle silver handle hair brown nose woman nose man woman smiling man wearing necklace black bag floor woman wearing black shirt hair dog white bag chair white black bag black white photo hair brown black white shirt striped shirt man hair man head woman hat chair black light ceiling black strap woman shoulder woman brown hair black white striped shirt black white chair striped shirt black white cat woman wearing necklace leg person black strap chair necklace woman person wearing hat white toilet tank man wearing hat black strap chair black white striped shirt black bag table hair white hair brown black white striped zebra brown hair woman woman black shirt wall white white shirt man black chair black table white shirt man black piece paper black white shirt,aannagentile mo questa #selfie portoferraio isola d'elba,140165.741542,213.458725,21.8256206495,28.50063228,-9.912205854,0.542876,1,476,19,9481,2064,0.230620155
tweet_74964.txt,woman dark hair woman wearing red dress woman wearing necklace woman wearing sunglass mountain background woman wearing sunglass woman long hair man wearing glass building background man glass green bush road mountain background bush background woman wearing dress sky blue man glass woman wearing necklace building background tree background grassy field building background black sunglass man head stone wall white cloud blue sky building background mountain distance man glass mountain distance woman wearing necklace building background white cloud blue sky mountain distance green bush road tall white building woman dress pink green tree background building distance small hill distance tail horse red brick building window building distance building background mountain distance small body water wooden fence green leaf tree building background woman necklace tall white building distance mountain distance green grass road woman wearing watch tall building distance mountain distance building background building distance building background small bush background green leaf tree white train track building background mountain distance building background building distance mountain distance man glass mountain distance stone wall green grass ground white boat water building background tree hill woman wearing white shirt white building distance small building distance white building background building background tall building distance building background white cloud blue sky tree hill small patch green grass green tree background long black hair white cloud blue sky hill distance small white building mountain distance building background small train track small patch green grass small hill distance green leaf tree tie pink building distance woman wearing sunglass building background row building arm woman man black shirt white cloud blue sky tie pink small hill distance hair black small green tree woman wearing sunglass green leaf tree white cloud blue sky woman wearing hat hair man white cloud blue sky green leaf tree,#pueblitopaisa #selfie pueblito paisa - cerro nutibara medellín,268.646546237,2552.43115234,0.000000005,80.99047852,384.643317828,0.001616,1,2910,14,30481,2796,1.0407725322
tweet_104570.txt,man sitting chair dog black white man glass head white black chair eye dog man hair black blue white shirt man glass face black metal frame blue white blanket man hair brown woman wearing sunglass glass man head dog face black black white dog light ceiling pair glass large window blue roof metal bar window silver sink wall man wearing glass blue white striped shirt white towel chair man wearing hat white plate wall pair glass pillow black ear cat blue white shirt man wearing white shirt white towel bed man hair brown man wearing black jacket white sink wall blue white striped shirt white ceiling fan blue white shirt blue white shirt blue white paper man beard green white blanket light ceiling green white tie blue white pillow man wearing glass man brown hair white metal bar black white cat blue white curtain blue white pillow black white toothbrush white sink bathroom blue white shirt man wearing tie white towel bed black white umbrella man wearing hat white collar shirt blue white towel white blue design shirt blue shirt man green pillow white line table green pillow bed black cord green tree background white black design green shirt man head person,road #selfie #oliver khalfi massabki hotel,22.4526744808,1907.15332031,137.663818361,154.96282959,158748.507373,0,1,520,33,21025,238,2.1848739496
tweet_13015.txt,woman wearing hat white hat man men hand white hat man man wearing sunglass man wearing glass woman wearing sunglass man wearing glass white hat man head woman wearing black shirt man wearing hat building background white hat man head large building window woman wearing sunglass man wearing white hat black hat head man wearing hat man beard man wearing sunglass man wearing hat man wearing sunglass black hat man head woman wearing sunglass building window woman wearing hat man glass face wooden handle building background white cloud blue sky group people background building background woman long hair tall building distance metal railing man wearing shirt white hat man grassy area man black hair man beard woman wearing sunglass woman wearing necklace man hat woman wearing sunglass small bush background small green bush building background woman wearing hat small white boat man wearing hat woman wearing pink shirt man short hair tall building background green grass ground hand holding knife man wearing glass building window man wearing hat green white building building background black white pillow hat head man wearing hat man wearing white shirt row tree building window man wearing black shirt building background white cloud blue sky building background white hat man head row building building background building background building background metal railing red white bag black white hat woman wearing black shirt woman wearing sunglass man sitting floor white building building background man wearing glass hand holding piece paper green tree background building background window building building background green grassy hill white line wall man beard man hat shirt white building white roof people background black bag building background white shirt man tall building distance small patch grass small brown cow white building background white cloud blue sky man wearing white shirt man wearing white shirt woman hair brown black motorcycle trouser,desborough clan #desborough #family #selfie #pontevecchio #florence #firenze #italy #trip,1246.86994369,313.88818359,62.0577507009,62.06885528,-27.5994008314,0.011804,1,253,23,2062,546,0.4633699634
tweet_90239.txt,boy wearing red hat red hat head jacket red large mountain background person wearing black shirt red hat head mountain background red hat head face man jacket red shirt red mountain range distance white cloud blue sky face woman red shirt man watch black red hat head tail plane eye man person sitting chair white cloud blue sky rock ground mountain distance large rock water man wearing hat eye man green leaf tree small brown tree black white wrist band watch wrist red hat man head red jacket woman mouth woman head person brown tree background red white flag white cloud blue sky eye woman ear woman green leaf tree rock hill white cloud blue sky large rock ground white water red plastic cup red white umbrella red shirt man mountain distance white cloud blue sky nose man mountain distance rock green red hat head black handle bike red shirt man large rock water red collar shirt red shirt white red hat person red hat man white cloud blue sky red hat person red hat man head small white object brown mountain distance red white hat man red hat head green grass ground red shirt man man beard shirt red red white kite mountain distance shirt red red person wearing hat shirt red woman wearing red shirt white cloud sky green tree background large rock mountain man wearing red shirt shirt red white cloud blue sky small patch green grass arm man shade shirt red red shirt man road road,#bulgaria 🇧🇬 #nature #selfie #selfie ่่ #selfienation 📷  #rila #mountains #photography,141503.61291,2357.44042969,212.036376958,474.07055665,927.670266691,0.00668,1,491,15,1636,1469,0.3342409803
